"classifier";"measures";"Alberto.Caeiro";"Álvaro.de.Campos";"Fernando.Pessoa";"Ricardo.Reis";"Macro"
"RPART";"accuracy";0,863090635738832;0,704381443298969;0,816398195876289;0,732452749140893;0,779080756013746
"RPART";"precision";0,251677489177489;0,486490979192592;0,503935035552683;0,85382036151813;0,523980966360224
"RPART";"recall";0,382611832611833;0,548063899170251;0,774157991131675;0,496589894447037;0,550355904340199
"RPART";"f1";0,28672228695112;0,508875611460517;0,604643594946231;0,620731308332065;0,505243200422483
"NNET";"accuracy";0,835030068728522;0,729188144329897;0,755251288659794;0,844490979381443;0,790990120274914
"NNET";"precision";0,588881852581543;0,617902183600713;0,452810222931191;0,653796870737439;0,578347782462721
"NNET";"recall";0,405171425796426;0,579043134413153;0,545646865212083;0,734058479155253;0,565979976144229
"NNET";"f1";0,462601347302319;0,588066928831692;0,460722417035529;0,681442869343193;0,548208390628183
"SVM";"accuracy";0,879585481099656;0,740700171821306;0,802963917525773;0,794727233676976;0,804494201030928
"SVM";"precision";0,0810353535353535;0,753924718718935;0,494876544515787;0,823129953379953;0,538241642537507
"SVM";"recall";0,7;0,577717742938908;0,724049375110016;0,57608864641278;0,644463941115426
"SVM";"f1";0,138080693815988;0,65199123911452;0,573180022333677;0,670736057604379;0,508497003217141
"RAD.SVM";"accuracy";0,884890463917526;0,737510738831615;0,779961340206186;0,858827319587629;0,815297465635739
"RAD.SVM";"precision";0,338551775022363;0,743564189281653;0,580689457928056;0,685616361462126;0,58710544592355
"RAD.SVM";"recall";0,588492063492064;0,575153929702994;0,630672126824577;0,754675941533527;0,63724851538829
"RAD.SVM";"f1";0,421413663083888;0,645582765961834;0,600258632211145;0,713244918681656;0,595124994984631
"NBAYES";"accuracy";0,23347293814433;0,685803264604811;0,721950171821306;0,750977233676976;0,598050902061856
"NBAYES";"precision";0,948903057726587;0,0320199938949939;0,019820652173913;0,202253042833422;0,300749186657229
"NBAYES";"recall";0,136948414133827;0,6;0,4;0,459158714092925;0,399026782056688
"NBAYES";"f1";0,238327665342078;0,060144667949546;0,0375420875420875;0,270533790527172;0,151637052840221
"WEKA.NB";"accuracy";0,877598797250859;0,786318728522337;0,796585051546392;0,738616838487973;0,79977985395189
"WEKA.NB";"precision";0,529045072574484;0,59124992614912;0,517904273146209;0,728287420287215;0,591621673039257
"WEKA.NB";"recall";0,514023892773893;0,702046476127358;0,692606951871658;0,503807051477824;0,603121093062683
"WEKA.NB";"f1";0,506538734070703;0,633108356483824;0,584843197511507;0,590400278645074;0,578722641677777
"1NN";"accuracy";0,829972079037801;0,556013745704467;0,704338487972509;0,691870704467354;0,695548754295533
"1NN";"precision";0,23216588966589;0,404642901978295;0,498273446833931;0,358048971414591;0,373282802473177
"1NN";"recall";0,302456432456432;0,34509090607822;0,480526137636685;0,406644864797039;0,383679585242094
"1NN";"f1";0,252711892854308;0,364777471146289;0,478986108537029;0,375436461438312;0,367977983493984
"KNN";"accuracy";0,868277491408935;0,541537800687285;0,667074742268041;0,670060137457045;0,686737542955326
"KNN";"precision";0,160092946269417;0,394781185957657;0,531113526919905;0,270786685966596;0,339193586278394
"KNN";"recall";0,501190476190476;0,348259379134963;0,425888899921606;0,346464836906013;0,405450898038265
"KNN";"f1";0,233351648351648;0,351488113042613;0,462816571626016;0,298399547312591;0,336513970083217
