"classifier";"measures";"Alberto.Caeiro";"Álvaro.de.Campos";"Fernando.Pessoa";"Ricardo.Reis";"Macro"
"RPART";"accuracy";0,85798969072165;0,714690721649485;0,829864690721649;0,713520189003436;0,779016323024055
"RPART";"precision";0,228517316017316;0,472429437875358;0,528900104102944;0,888028839115796;0,529468924277853
"RPART";"recall";0,336082251082251;0,602423256091734;0,819584623323013;0,480228878923345;0,559579752355086
"RPART";"f1";0,264598056405837;0,513574339499447;0,633724402074423;0,618546605122305;0,507610850775503
"NNET";"accuracy";0,832817869415808;0,701310137457045;0,769737972508591;0,789518900343643;0,773346219931272
"NNET";"precision";0,338988095238095;0,578637235586951;0,61273597021567;0,544816862945895;0,518794540996653
"NNET";"recall";0,258262987012987;0,5379267882875;0,63652331285881;0,608229548229548;0,510235659097211
"NNET";"f1";0,28484044841218;0,544659168318765;0,597117839238805;0,534681436843191;0,490324723203235
"SVM";"accuracy";0,876664518900344;0,739755154639175;0,80713058419244;0,796767611683849;0,805079467353952
"SVM";"precision";0,0312990196078431;0,750754862860536;0,492999696382049;0,859698372376391;0,533687987806705
"SVM";"recall";0,4;0,576389173189268;0,753028713087066;0,58357655498262;0,578248610314739
"SVM";"f1";0,0575980392156863;0,650284162763502;0,581090678498678;0,684167883784519;0,493285191065596
"RAD.SVM";"accuracy";0,880659364261168;0,726127577319588;0,795661512027491;0,867182130584192;0,81740764604811
"RAD.SVM";"precision";0,331273554876496;0,757351757783348;0,590908560143005;0,685749507094891;0,591320844974435
"RAD.SVM";"recall";0,557950937950938;0,560723550933712;0,646948773829781;0,784101761285433;0,637431255999966
"RAD.SVM";"f1";0,408332441776378;0,640768525636979;0,61347505012482;0,727492669214379;0,597517171688139
"NBAYES";"accuracy";0,280197594501718;0,684632731958763;0,7209514604811;0,733376288659794;0,604789518900344
"NBAYES";"precision";0,956474358974359;0,0285724033851778;0,0146543778801843;0,26253596644901;0,315559276672183
"NBAYES";"recall";0,145947067021389;0,6;0,3;0,474632839110399;0,380144976532947
"NBAYES";"f1";0,252457576451089;0,054212045919363;0,0278409090909091;0,317849253597409;0,163089946264693
"WEKA.NB";"accuracy";0,876524914089347;0,797712628865979;0,808140034364261;0,731325171821306;0,803425687285223
"WEKA.NB";"precision";0,511047237076649;0,589453305441986;0,515832735961768;0,756179898920836;0,59312829435031
"WEKA.NB";"recall";0,524950972230384;0,728854767022959;0,731086402648878;0,488454621485192;0,618336690846853
"WEKA.NB";"f1";0,502955740472566;0,648642286734328;0,600238649165478;0,59161199485548;0,585862167806963
"1NN";"accuracy";0,844426546391753;0,577792096219931;0,706496993127148;0,7303264604811;0,714760524054983
"1NN";"precision";0,235824314574315;0,452553376906318;0,473472194293346;0,429350511807034;0,397800099395253
"1NN";"recall";0,334813797313797;0,377571899284322;0,479953496392076;0,481922825187902;0,418565504544525
"1NN";"f1";0,267717478174;0,406454455685693;0,468411960184475;0,449540571315797;0,398031116339991
"KNN";"accuracy";0,866161941580756;0,601546391752577;0,623507302405498;0,705433848797251;0,699162371134021
"KNN";"precision";0,155781130634072;0,342440267289037;0,620272654077002;0,349484412326804;0,366994616081729
"KNN";"recall";0,431190476190476;0,380724190078938;0,395537333985839;0,421783625730994;0,407308906496562
"KNN";"f1";0,222755141838464;0,355906417449437;0,47886619120958;0,373863175381354;0,357847731469709
