"classifier";"measures";"Alberto.Caeiro";"Álvaro.de.Campos";"Fernando.Pessoa";"Ricardo.Reis";"Macro"
"RPART";"accuracy";0,865098797250859;0,713584621993127;0,82051116838488;0,7084514604811;0,776911512027491
"RPART";"precision";0,174494949494949;0,478063670200767;0,496465512154172;0,887705397350559;0,509182382300112
"RPART";"recall";0,398701298701299;0,569648100265747;0,798412698412698;0,473348519255802;0,560027654158887
"RPART";"f1";0,234229805282437;0,515357827863816;0,605895546471718;0,614202789323233;0,492421492235301
"NNET";"accuracy";0,861018041237113;0,768642611683849;0,782291666666667;0,84951675257732;0,815367268041237
"NNET";"precision";0,484895104895105;0,686044899977047;0,602214425964426;0,664302134646962;0,609364141370885
"NNET";"recall";0,482373737373737;0,63019819511445;0,616844420435252;0,740361983554203;0,617444584119411
"NNET";"f1";0,461628771410078;0,651442256244729;0,607601644913284;0,695746527292719;0,604104799965202
"SVM";"accuracy";0,882774914089347;0,794566151202749;0,84330970790378;0,81742912371134;0,834519974226804
"SVM";"precision";0,0891468253968254;0,779698125382219;0,605376007465356;0,87283402289363;0,586763745284508
"SVM";"recall";0,7;0,651943936187806;0,787977019755271;0,605559969813019;0,686370231439024
"SVM";"f1";0,155534991324465;0,709191844912719;0,6819153357889;0,711810759264149;0,564613232822558
"RAD.SVM";"accuracy";0,909697164948454;0,81740764604811;0,844362113402062;0,803898195876289;0,843841280068728
"RAD.SVM";"precision";0,341778177962388;0,710395821369959;0,66823509594726;0,857926308002209;0,644583850820454
"RAD.SVM";"recall";0,872380952380952;0,718480878703839;0,761524842748545;0,591446631284093;0,735958326279357
"RAD.SVM";"f1";0,467556707909009;0,710773630901559;0,70722917102162;0,690435447615523;0,643998739361928
"NBAYES";"accuracy";0,43974441580756;0,711673109965636;0,735448883161512;0,638069158075601;0,631233891752577
"NBAYES";"precision";0,677969824293354;0,150335229812427;0,129469491624223;0,318113932753408;0,318972119620853
"NBAYES";"recall";0,148155711565323;0,778769841269841;0,6825;0,321262265512265;0,482671954586857
"NBAYES";"f1";0,239768985900668;0,248313504892452;0,213374419180871;0,313953462924241;0,253852593224558
"WEKA.NB";"accuracy";0,826771907216495;0,815259879725086;0,819469501718213;0,834976374570447;0,82411941580756
"WEKA.NB";"precision";0,567169034955413;0,643626656041426;0,611186593133962;0,738101579495643;0,640020965906611
"WEKA.NB";"recall";0,38;0,755092503282158;0,711248662770402;0,663021702270868;0,627340717080857
"WEKA.NB";"f1";0,445215328531118;0,68994301250709;0,653351402102293;0,696911634889961;0,621355344507616
"1NN";"accuracy";0,865131013745704;0,517633161512028;0,766709621993127;0,773743556701031;0,730804338487973
"1NN";"precision";0,168281163281163;0,931176630708177;0,294572191381402;0,220574056474665;0,403651010461352
"1NN";"recall";0,514404761904762;0,398857049262909;0,717263847263847;0,738412698412698;0,592234589211054
"1NN";"f1";0,234237677527151;0,554829127215249;0,407529147283451;0,333981708139273;0,382644415041281
"KNN";"accuracy";0,865152491408935;0,507280927835052;0,788337628865979;0,762532216494845;0,730825816151203
"KNN";"precision";0,0877472527472527;0,948844756185552;0,373922496833823;0,133718510153293;0,38605825397998
"KNN";"recall";0,316666666666667;0,392966360737817;0,754618983957219;0,801666666666667;0,566479669507092
"KNN";"f1";0,135592903828198;0,554927446277827;0,497819898031901;0,22853688009253;0,354219282057614
