"classifier";"measures";"Alberto.Caeiro";"Álvaro.de.Campos";"Fernando.Pessoa";"Ricardo.Reis";"Macro"
"RPART";"accuracy";0,867268041237113;0,705294243986254;0,814185996563574;0,712564432989691;0,774828178694158
"RPART";"precision";0,20537629037629;0,59941104444966;0,450441464397188;0,771078401332485;0,506576800138906
"RPART";"recall";0,464166666666667;0,551824830143293;0,818128275233538;0,474757140441323;0,577219228121205
"RPART";"f1";0,270033549144802;0,565178914193657;0,573941024444457;0,580644517668386;0,497449501362826
"NNET";"accuracy";0,865045103092783;0,713659793814433;0,722905927835052;0,793341924398625;0,773738187285223
"NNET";"precision";0,289141414141414;0,609498023890607;0,446748337869028;0,69970868576407;0,51127411541628
"NNET";"recall";0,267701410388717;0,586332002714463;0,472729437229437;0,620542134484942;0,48682624620439
"NNET";"f1";0,272675293767463;0,564057136365026;0,433750634557076;0,640847051671691;0,477832529090314
"SVM";"accuracy";0,879682130584192;0,737467783505155;0,821520618556701;0,810212628865979;0,812220790378007
"SVM";"precision";0,0602355977355977;0,758403565118396;0,531529365683396;0,842360277403756;0,548132201485287
"SVM";"recall";0,7;0,570328671674654;0,778653066489754;0,600714343968201;0,662424020533152
"SVM";"f1";0,110610500610501;0,647170845690454;0,626762788430042;0,699815728276017;0,521089965751753
"RAD.SVM";"accuracy";0,897347508591065;0,7459514604811;0,801922250859107;0,859997852233677;0,826304768041237
"RAD.SVM";"precision";0,340046784570778;0,763197418129581;0,584021156983114;0,738935595694216;0,606550238844422
"RAD.SVM";"recall";0,667539682539683;0,583721212398307;0,678090429603532;0,726311913294921;0,663915809459111
"RAD.SVM";"f1";0,445373874491522;0,659826113638947;0,624520896827176;0,730326945505759;0,615011957615851
"NBAYES";"accuracy";0,364089347079038;0,684740120274914;0,719845360824742;0,754070017182131;0,630686211340206
"NBAYES";"precision";0,925989304812834;0,0300799774937706;0,0106433888691953;0,491104575540284;0,364454311679021
"NBAYES";"recall";0,159932602317528;0,6;0,3;0,586301587301587;0,411558547404779
"NBAYES";"f1";0,270796509596488;0,0570083257497445;0,0205539591315453;0,501611357923263;0,21249253810026
"WEKA.NB";"accuracy";0,894222508591065;0,773807989690722;0,776986683848797;0,752104810996564;0,799280498281787
"WEKA.NB";"precision";0,568502282031694;0,562598300109544;0,505580834290512;0,736429414244937;0,593277707669172
"WEKA.NB";"recall";0,591180902430902;0,692695724497796;0,623613147605083;0,517824738811456;0,606328628336309
"WEKA.NB";"f1";0,561637582537005;0,616260226526892;0,555737179572494;0,606675829414993;0,585077704512846
"1NN";"accuracy";0,849602663230241;0,695060137457045;0,61604381443299;0,693868127147766;0,71364368556701
"1NN";"precision";0,163907342657343;0,338003387309653;0,615880014538185;0,463846006934242;0,395409187859856
"1NN";"recall";0,383340548340548;0,551780422487281;0,396211159838944;0,419069726777682;0,437600464361114
"1NN";"f1";0,214632291513096;0,413996326862797;0,476576711182448;0,435410173897537;0,38515387586397
"KNN";"accuracy";0,857850085910653;0,703393470790378;0,583021907216495;0,650408075601375;0,698668384879725
"KNN";"precision";0,150873015873016;0,330668418463337;0,684481100795756;0,293791726791727;0,364953565480959
"KNN";"recall";0,315769230769231;0,567623716153128;0,374190795262823;0,295758013141604;0,388335438831696
"KNN";"f1";0,190640957433258;0,411686898614975;0,479955021892474;0,293140520352312;0,343855849573255
