"classifier";"measures";"Alberto.Caeiro";"Álvaro.de.Campos";"Fernando.Pessoa";"Ricardo.Reis";"Macro"
"RPART";"accuracy";0,86828823024055;0,746907216494845;0,809192439862543;0,731346649484536;0,788933634020619
"RPART";"precision";0,262097159376571;0,569240103224947;0,483083204185274;0,834039162581897;0,537114907342172
"RPART";"recall";0,35534188034188;0,622099942591052;0,778314215024741;0,499346068534565;0,56377552662306
"RPART";"f1";0,296016924252218;0,592710927363656;0,580376480333506;0,619754989992082;0,522214830485366
"NNET";"accuracy";0,83798324742268;0,678393470790378;0,71382087628866;0,809192439862543;0,759847508591065
"NNET";"precision";0,424108851674641;0,585952073151464;0,469511733241046;0,620863368653517;0,525109006680167
"NNET";"recall";0,406138583638584;0,490845132979196;0,501945950810812;0,654963994299976;0,513473415432142
"NNET";"f1";0,330699807722826;0,519102823900857;0,418876012766798;0,603334088135151;0,468003183131408
"SVM";"accuracy";0,882774914089347;0,741612972508591;0,812210051546392;0,810180412371134;0,811694587628866
"SVM";"precision";0,108521241830065;0,731493107908668;0,511660010806563;0,865526717216372;0,554300269440417
"SVM";"recall";0,85;0,577704960599697;0,744799995755878;0,609409805796789;0,695478690538091
"SVM";"f1";0,187917719535367;0,644225440961436;0,602612996916286;0,712031957437063;0,536697028712538
"RAD.SVM";"accuracy";0,873346219931271;0,725268470790378;0,78215206185567;0,860062285223368;0,810207259450172
"RAD.SVM";"precision";0,31828664799253;0,74759591410885;0,585795374694393;0,681397085639372;0,583268755608786
"RAD.SVM";"recall";0,5121336996337;0,555256276599709;0,632344378120751;0,754075141741046;0,613452374023801
"RAD.SVM";"f1";0,374754396453818;0,630033170866807;0,601473850367127;0,713193223479864;0,579863660291904
"NBAYES";"accuracy";0,206443298969072;0,685652920962199;0,717901632302405;0,734375;0,586093213058419
"NBAYES";"precision";0,947159090909091;0,0317714782230911;0,00733333333333333;0,142182182509414;0,282111521243732
"NBAYES";"recall";0,133402803369158;0,7;0,2;0,488232323232323;0,38040878165037
"NBAYES";"f1";0,232968597269685;0,0605493572641281;0,0141439205955335;0,206720291496727;0,128595541656518
"WEKA.NB";"accuracy";0,876546391752577;0,776986683848797;0,813230240549828;0,742794243986254;0,802389390034364
"WEKA.NB";"precision";0,498409596939009;0,560018156190578;0,524341066646164;0,798710729862342;0,595369887409523
"WEKA.NB";"recall";0,519555999556;0,684918073003826;0,7475661172333;0,510404649928172;0,615611209930324
"WEKA.NB";"f1";0,504353354166154;0,610349681550382;0,611419602762036;0,618774486749211;0,586224281306946
"1NN";"accuracy";0,842192869415808;0,566280068728522;0,718030498281787;0,686705326460481;0,703302190721649
"1NN";"precision";0,181644466644467;0,457198806095865;0,449592551938317;0,401150801222765;0,372396656475353
"1NN";"recall";0,301785714285714;0,379956968706969;0,511198086227498;0,400254911344537;0,398298920141179
"1NN";"f1";0,219081670595902;0,399710365515593;0,472499237261659;0,394406716304251;0,371424497419351
"KNN";"accuracy";0,873399914089347;0,578790807560137;0,653425687285223;0,692944587628866;0,699640249140894
"KNN";"precision";0,181968725718726;0,397089547089547;0,606012275767711;0,289896839271839;0,368741846961956
"KNN";"recall";0,529761904761905;0,385999507637476;0,435646695252588;0,396163770869653;0,436892969630406
"KNN";"f1";0,257773246070123;0,373502459932912;0,493469522984281;0,325394892248445;0,36253503030894
