"classifier";"measures";"Alberto.Caeiro";"Álvaro.de.Campos";"Fernando.Pessoa";"Ricardo.Reis";"Macro"
"RPART";"accuracy";0,868298969072165;0,751041666666667;0,806078178694158;0,72814647766323;0,788391323024055
"RPART";"precision";0,245415923945336;0,586430445751665;0,47287880487658;0,854656066156066;0,539845310182412
"RPART";"recall";0,343452380952381;0,639856083356083;0,743281081663435;0,497799761746788;0,556097326929672
"RPART";"f1";0,274754433202581;0,598592150989847;0,570404902264661;0,624588618937515;0,517085026348651
"NNET";"accuracy";0,859890463917526;0,701310137457045;0,730519759450172;0,776986683848797;0,767176761168385
"NNET";"precision";0,493538267288267;0,587465627003152;0,436969696969697;0,635520305465859;0,538373474181744
"NNET";"recall";0,456634615384615;0,55366060912835;0,50568592327213;0,582224843957004;0,524551497935525
"NNET";"f1";0,446999869880728;0,550754792068224;0,424005791142709;0,585011660355365;0,501693028361756
"SVM";"accuracy";0,878618986254296;0,745940721649485;0,815313573883162;0,817321735395189;0,814298754295533
"SVM";"precision";0,0511544011544012;0,736845533621396;0,554270214901411;0,874185653790917;0,554113950867031
"SVM";"recall";0,5;0,586599096165102;0,731991434254861;0,606695491729879;0,606321505537461
"SVM";"f1";0,0923484848484848;0,649686279310228;0,621172833593322;0,708800858063227;0,518002113953816
"RAD.SVM";"accuracy";0,888992697594502;0,737467783505155;0,781003006872852;0,857893041237113;0,816339132302406
"RAD.SVM";"precision";0,339113109113109;0,739681073416569;0,583821808778705;0,70187468511902;0,591122669106851
"RAD.SVM";"recall";0,691522366522367;0,570884579926202;0,623078590465687;0,749847352014252;0,658833222232127
"RAD.SVM";"f1";0,424729082930052;0,641702222836572;0,599015579235978;0,720691623621299;0,596534627155975
"NBAYES";"accuracy";0,212607388316151;0,683580326460481;0,717654639175258;0,736673109965636;0,587628865979381
"NBAYES";"precision";0,925016233766234;0,0285856726203026;0,00583333333333333;0,163587230894357;0,280755617653557
"NBAYES";"recall";0,132151340848038;0,7;0,2;0,541976817042606;0,393532039472661
"NBAYES";"f1";0,229910916066614;0,0546416900093371;0,0113296616837136;0,227976067951658;0,130964583927831
"WEKA.NB";"accuracy";0,883838058419244;0,783182989690722;0,809063573883162;0,739486683848797;0,803892826460481
"WEKA.NB";"precision";0,520119047619048;0,573895318391286;0,527571902101935;0,79053028550397;0,60302913840406
"WEKA.NB";"recall";0,552052996023584;0,720732349639949;0,728087396618727;0,505291156595751;0,626540974719503
"WEKA.NB";"f1";0,531850956360411;0,632999759110449;0,604687151799021;0,613561909876423;0,595774944286576
"1NN";"accuracy";0,839164518900344;0,568427835051546;0,721058848797251;0,682624570446735;0,702818943298969
"1NN";"precision";0,185938228438228;0,444426720439651;0,493168166374688;0,376434886952128;0,374992000551174
"1NN";"recall";0,329246031746032;0,369035826149423;0,529023899381668;0,386479889911299;0,403446411797105
"1NN";"f1";0,229464420773884;0,392804933591706;0,498383951765251;0,378338374722174;0,374747920213254
"KNN";"accuracy";0,869415807560137;0,59245060137457;0,650246993127148;0,682560137457045;0,698668384879725
"KNN";"precision";0,167379185142343;0,411115309359762;0,590184049465356;0,300414693149987;0,367273309279362
"KNN";"recall";0,473809523809524;0,410825986955258;0,436942488794761;0,374953858061443;0,424132964405247
"KNN";"f1";0,236428571428571;0,393374177787215;0,483314498619016;0,32861683266449;0,360433520124823
