"Autor","Obra","Poema"
"Alberto Caeiro","O GUARDADOR DE REBANHOS","
[XVa] Estas quatro canções, escrevi-as estando doente. Agora ficaram escritas e não penso mais nelas. Gozemos, se pudermos, a nossa doença, Mas nunca a achemos saúde, Como os homens fazem.   O defeito dos homens não é serem doentes: É chamarem saúde à sua doença, E por isso não buscarem a cura Nem realmente saberem o que é saúde e doença. 
"
"Alberto Caeiro","O GUARDADOR DE REBANHOS","
I Eu nunca guardei rebanhos, Mas é como se os guardasse. Minha alma é como um pastor, Conhece o vento e o sol E anda pela mão das Estacões A seguir e a olhar. Toda a paz da Natureza sem gente Vem sentar-se a meu lado. Mas eu fico triste como um pôr do Sol Para a nossa imaginação, Quando esfria no fundo da planície E se sente a noite entrada Como uma borboleta pela janela.   Mas a minha tristeza é sossego Porque é natural e justa E é o que deve estar na alma Quando já pensa que existe E as mãos colhem flores sem ela dar por isso.   Com um ruído de chocalhos Para além da curva da estrada, Os meus pensamentos são contentes. Só tenho pena de saber que eles são contentes, Porque, se o não soubesse, Em vez de serem contentes e tristes, Seriam alegres e contentes.   Pensar incomoda como andar à chuva Quando o vento cresce e parece que chove mais.   Não tenho ambições nem desejos. Ser poeta não é uma ambição minha. É a minha maneira de estar sozinho.   E se desejo às vezes, Por imaginar, ser cordeirinho (Ou ser o rebanho todo Para andar espalhado por toda a encosta A ser muita coisa feliz ao mesmo tempo), É só porque sinto o que escrevo ao pôr do Sol Ou quando uma nuvem passa a mão por cima da luz E corre um silêncio pela erva fora.   Quando me sento a escrever versos Ou, passeando pelos caminhos ou pelos atalhos, Escrevo versos num papel que está no meu pensamento, Sinto um cajado nas mãos E vejo um recorte de mim No cimo dum outeiro, Olhando para o meu rebanho e vendo as minhas ideias, Ou olhando para as minhas ideias e vendo o meu rebanho, E sorrindo vagamente como quem não compreende o que se diz E quer fingir que compreende.   Saúdo todos os que me lerem, Tirando-lhes o chapéu largo Quando me vêem à minha porta Mal a diligência levanta no cimo do outeiro. Saúdo-os e desejo-lhes sol E chuva, quando a chuva é precisa, E que as suas casas tenham Ao pé duma janela aberta Uma cadeira predilecta Onde se sentem, lendo os meus versos. E ao lerem os meus versos pensem Que sou qualquer coisa natural — Por exemplo, a árvore antiga À sombra da qual quando crianças Se sentavam com um baque, cansados de brincar, E limpavam o suor da testa quente Com a manga do bibe riscado. 
"
"Alberto Caeiro","O GUARDADOR DE REBANHOS","
II   O meu olhar é nítido como um girassol. Tenho o costume de andar pelas estradas Olhando para a direita e para a esquerda, E de vez em quando olhando para trás... E o que vejo a cada momento É aquilo que nunca antes eu tinha visto, E eu sei dar por isso muito bem... Sei ter o pasmo essencial Que tem uma criança se, ao nascer, Reparasse que nascera deveras... Sinto-me nascido a cada momento Para a eterna novidade do Mundo...   Creio no Mundo como num malmequer, Porque o vejo. Mas não penso nele Porque pensar é não compreender... O Mundo não se fez para pensarmos nele (Pensar é estar doente dos olhos) Mas para olharmos para ele e estarmos de acordo…   Eu não tenho filosofia: tenho sentidos... Se falo na Natureza não é porque saiba o que ela é, Mas porque a amo, e amo-a por isso, Porque quem ama nunca sabe o que ama Nem sabe porque ama, nem o que é amar...   Amar é a eterna inocência, E a única inocência é não pensar... 
"
"Alberto Caeiro","O GUARDADOR DE REBANHOS","
III   Ao entardecer, debruçado pela janela, E sabendo de soslaio que há campos em frente. Leio até me arderem os olhos O livro de Cesário Verde.   Que pena que tenho dele! Ele era um camponês Que andava preso em liberdade pela cidade. Mas o modo como olhava para as casas, E o modo como reparava nas ruas, E a maneira como dava pelas coisas, É o de quem olha para árvores, E de quem desce os olhos pela estrada por onde vai andando E anda a reparar nas flores que há pelos campos...   Por isso ele tinha aquela grande tristeza Que ele nunca disse bem que tinha, Mas andava na cidade como quem anda no campo E triste como esmagar flores em livros E pôr plantas em jarros... 
"
"Alberto Caeiro","O GUARDADOR DE REBANHOS","
IV   Esta tarde a trovoada caiu Pelas encostas do céu abaixo Como um pedregulho enorme... Como alguém que duma janela alta Sacode uma toalha de mesa, E as migalhas, por caírem todas juntas, Fazem algum barulho ao cair, A chuva chovia do céu E enegreceu os caminhos...   Quando os relâmpagos sacudiam o ar E abanavam o espaço Como uma grande cabeça que diz que não, Não sei porquê — eu não tinha medo — Pus-me a rezar a Santa Bárbara Como se eu fosse a velha tia de alguém...   Ah! é que rezando a Santa Bárbara Eu sentia-me ainda mais simples Do que julgo que sou... Sentia-me familiar e caseiro E tendo passado a vida Tranquilamente, como o muro do quintal; Tendo ideias e sentimentos por os ter Como uma flor tem perfume e cor...   Sentia-me alguém que possa acreditar em Santa Bárbara... Ah, poder crer em Santa Bárbara!   (Quem crê que há Santa Bárbara, Julgará que ela é gente visível Ou que julgará dela?)   (Que artifício! Que sabem As flores, as árvores, os rebanhos, De Santa Bárbara?... Um ramo de árvore, Se pensasse, nunca podia Construir santos nem anjos... Poderia julgar que o Sol É Deus, e que a trovoada É uma quantidade de gente Zangada por cima de nós… Ah, como os mais simples dos homens São doentes e confusos e estúpidos Ao pé da clara simplicidade E saúde em existir Das árvores e das plantas!)   E eu, pensando em tudo isto, Fiquei outra vez menos feliz... Fiquei sombrio e adoecido e soturno Como um dia em que todo o dia a trovoada ameaça E nem sequer de noite chega... 
"
"Alberto Caeiro","O GUARDADOR DE REBANHOS","
IX   Sou um guardador de rebanhos. O rebanho é os meus pensamentos E os meus pensamentos são todos sensações. Penso com os olhos e com os ouvidos E com as mãos e os pés E com o nariz e a boca. Pensar uma flor é vê-la e cheirá-la E comer um fruto é saber-lhe o sentido.   Por isso quando num dia de calor Me sinto triste de gozá-lo tanto, E me deito ao comprido na erva, E fecho os olhos quentes, Sinto todo o meu corpo deitado na realidade, Sei a verdade e sou feliz. 
"
"Alberto Caeiro","O GUARDADOR DE REBANHOS","
[XIVa]

Rimo quando calha
E as mais das vezes não rimo...
Copio a Natureza e não a interrogo.
(De que me serviria interrogá-la?)
Nem tudo é terreno plano,
Por isso muitas vezes não rimo...

"
"Alberto Caeiro","O GUARDADOR DE REBANHOS","
V Há metafísica bastante em não pensar em nada.   O que penso eu do Mundo? Sei lá o que penso do Mundo! Se eu adoecesse pensaria nisso.   Que ideia tenho eu das coisas? Que opinião tenho sobre as causas e os efeitos? Que tenho eu meditado sobre Deus e a alma E sobre a criação do Mundo? Não sei. Para mim pensar nisso é fechar os olhos E não pensar. É correr as cortinas Da minha janela (mas ela não tem cortinas).   O mistério das coisas? Sei lá o que é mistério! O único mistério é haver quem pense no mistério. Quem está ao sol e fecha os olhos, Começa a não saber o que é o Sol E a pensar muitas coisas cheias de calor. Mas abre os olhos e vê o Sol, E já não pode pensar em nada, Porque a luz do Sol vale mais que os pensamentos De todos os filósofos e de todos os poetas. A luz do Sol não sabe o que faz E por isso não erra e é comum e boa.   Metafísica? Que metafísica têm aquelas árvores A de serem verdes e copadas e de terem ramos E a de dar fruto na sua hora, o que não nos faz pensar, A nós, que não sabemos dar por elas. Mas que melhor metafísica que a delas, Que é a de não saber para que vivem Nem saber que o não sabem?   «Constituição íntima das coisas»... «Sentido íntimo do Universo»... Tudo isto é falso, tudo isto não quer dizer nada. É incrível que se possa pensar em coisas dessas. É como pensar em razões e fins Quando o começo da manhã está raiando, e pelos lados das árvores Um vago ouro lustroso vai perdendo a escuridão.   Pensar no sentido íntimo das coisas É acrescentado, como pensar na saúde Ou levar um copo à água das fontes.   O único sentido íntimo das coisas É elas não terem sentido íntimo nenhum.   Não acredito em Deus porque nunca o vi. Se ele quisesse que eu acreditasse nele, Sem dúvida que viria falar comigo E entraria pela minha porta dentro Dizendo-me, Aqui estou!   (Isto é talvez ridículo aos ouvidos De quem, por não saber o que é olhar para as coisas, Não compreende quem fala delas Com o modo de falar que reparar para elas ensina.)   Mas se Deus é as flores e as árvores E os montes e sol e o luar, Então acredito nele, Então acredito nele a toda a hora, E a minha vida é toda uma oração e uma missa, E uma comunhão com os olhos e pelos ouvidos.   Mas se Deus é as árvores e as flores E os montes e o luar e o sol, Para que lhe chamo eu Deus? Chamo-lhe flores e árvores e montes e sol e luar; Porque, se ele se fez, para eu o ver, Sol e luar e flores e árvores e montes, Se ele me aparece como sendo árvores e montes E luar e sol e flores, É que ele quer que eu o conheça Como árvores e montes e flores e luar e sol.   E por isso eu obedeço-lhe, (Que mais sei eu de Deus que Deus de si próprio?), Obedeço-lhe a viver, espontaneamente, Como quem abre os olhos e vê, E chamo-lhe luar e sol e flores e árvores e montes, E amo-o sem pensar nele, E penso-o vendo e ouvindo, E ando com ele a toda a hora. 
"
"Alberto Caeiro","O GUARDADOR DE REBANHOS","
VI Pensar em Deus é desobedecer a Deus, Porque Deus quis que o não conhecêssemos, Por isso se nos não mostrou...   Sejamos simples e calmos, Como os regatos e as árvores, E Deus amar-nos-á fazendo de nós Belos como as árvores e os regatos, E dar-nos-á verdor na sua primavera, E um rio aonde ir ter quando acabemos!... 
"
"Alberto Caeiro","O GUARDADOR DE REBANHOS","
VII   Da minha aldeia vejo quanto da terra se pode ver do Universo... Por isso a minha aldeia é tão grande como outra terra qualquer, Porque eu sou do tamanho do que vejo E não do tamanho da minha altura...   Nas cidades a vida é mais pequena Que aqui na minha casa no cimo deste outeiro. Na cidade as grandes casas fecham a vista à chave, Escondem o horizonte, empurram o nosso olhar para longe de todo o céu, Tornam-nos pequenos porque nos tiram o que os nossos olhos nos podem dar, E tornam-nos pobres porque a nossa única riqueza é ver. 
"
